index,load,APX,clouds,radiation,temp,winddeg,windspeed,windspeed_100m,pressure,humidity,rain,mxlD,snowDepth,clearSky_ulf,clearSky_dlf,sjv_E1A,sjv_E1B,sjv_E1C,sjv_E2A,sjv_E2B,sjv_E3A,sjv_E3B,sjv_E3C,sjv_E3D,sjv_E4A
2020-10-02 09:45:00+00:00,10.339999999999998,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02 10:00:00+00:00,9.11,34.0,99.7589111328125,1552898.6875,16.44903564453125,154.71145629882812,3.5277777777777777,9.349440574645996,99453.4765625,0.6862404346466064,0.0,1355.6156005859375,0.0,-11.745010375976562,0.6921558380126953,3.143e-05,3.018e-05,2.877e-05,3.345e-05,3.241e-05,6.125e-05,4.833e-05,4.833e-05,3.097e-05,0.0
2020-10-02 10:15:00+00:00,8.366666666666667,34.0,99.81919288635254,1575618.09375,16.40094757080078,157.4915542602539,3.5576388888888886,9.232026100158691,99416.36328125,0.6837798804044724,0.005,1748.0516662597656,0.0,-11.690086364746094,0.7713444232940674,3.176e-05,3.039e-05,2.912e-05,3.311e-05,3.2e-05,6.024e-05,4.818e-05,4.818e-05,3.09e-05,0.0
2020-10-02 10:30:00+00:00,5.1499999999999995,34.0,99.87947463989258,1598337.5,16.352859497070312,160.2716522216797,3.5875,9.114611625671387,99379.25,0.6813193261623383,0.01,2140.4877319335938,0.0,-11.635162353515625,0.8505330085754395,3.19e-05,3.052e-05,2.898e-05,3.251e-05,3.135e-05,5.85e-05,4.795e-05,4.795e-05,3.085e-05,0.0
2020-10-02 10:45:00+00:00,2.713333333333333,34.0,99.93975639343262,1594736.09375,16.304771423339844,163.05175018310547,3.6173611111111112,8.997197151184082,99342.13671875,0.6788587719202042,0.015,2532.923797607422,0.0,-11.580238342285156,0.9297215938568115,3.153e-05,3.009e-05,2.854e-05,3.187e-05,3.067e-05,5.715e-05,4.772e-05,4.772e-05,3.083e-05,0.0
2020-10-02 11:00:00+00:00,1.143333333333334,28.8,100.00003814697266,1591134.6875,16.256683349609375,165.83184814453125,3.647222222222222,8.879782676696777,99305.0234375,0.6763982176780701,0.02,2925.35986328125,0.0,-11.525314331054688,1.0089101791381836,3.078e-05,2.937e-05,2.74e-05,3.141e-05,3.015e-05,5.707e-05,4.775e-05,4.775e-05,3.071e-05,0.0
2020-10-02 11:15:00+00:00,0.9599999999999993,28.8,100.00003433227539,1587533.28125,16.15874481201172,170.55307388305664,3.6291666666666664,8.950129985809326,99302.919921875,0.685240626335144,0.02,2619.89111328125,0.0,-11.221210479736328,0.7897143363952637,3.014e-05,2.877e-05,2.645e-05,3.113e-05,2.986e-05,5.822e-05,4.793e-05,4.793e-05,3.06e-05,0.0
2020-10-02 11:30:00+00:00,4.613333333333332,28.8,100.00003051757812,1583931.875,16.060806274414062,175.27429962158203,3.6111111111111107,9.020477294921875,99300.81640625,0.694083034992218,0.02,2314.42236328125,0.0,-10.917106628417969,0.5705184936523438,2.985e-05,2.859e-05,2.587e-05,3.109e-05,2.984e-05,5.968e-05,4.817e-05,4.817e-05,3.06e-05,0.0
2020-10-02 11:45:00+00:00,6.416666666666666,28.8,100.00002670288086,1475979.5,15.962867736816406,179.99552536010742,3.5930555555555554,9.090824604034424,99298.712890625,0.702925443649292,0.02,2008.95361328125,0.0,-10.61300277709961,0.35132265090942383,2.971e-05,2.848e-05,2.597e-05,3.137e-05,3.02e-05,6.023e-05,4.826e-05,4.826e-05,3.063e-05,0.0
2020-10-02 12:00:00+00:00,6.533333333333333,30.99,100.0000228881836,1368027.125,15.86492919921875,184.7167510986328,3.5749999999999997,9.161171913146973,99296.609375,0.711767852306366,0.02,1703.48486328125,0.0,-10.30889892578125,0.1321268081665039,2.949e-05,2.823e-05,2.62e-05,3.167e-05,3.058e-05,6.037e-05,4.823e-05,4.823e-05,3.061e-05,0.0
2020-10-02 12:15:00+00:00,5.660000000000001,30.99,100.0000171661377,1260074.75,15.851509094238281,190.02249908447266,3.5638888888888887,9.61179494857788,99286.24609375,0.7152964919805527,0.0225,1644.7539367675781,0.0,-9.781539916992188,-0.8906660079956055,2.917e-05,2.788e-05,2.65e-05,3.187e-05,3.087e-05,6.048e-05,4.811e-05,4.811e-05,3.058e-05,0.0
2020-10-02 12:30:00+00:00,6.2700000000000005,30.99,100.0000114440918,1152122.375,15.838088989257812,195.3282470703125,3.552777777777778,10.062417984008789,99275.8828125,0.7188251316547394,0.025,1586.0230102539062,0.0,-9.254180908203125,-1.9134588241577148,2.922e-05,2.809e-05,2.682e-05,3.17e-05,3.08e-05,6.016e-05,4.804e-05,4.804e-05,3.059e-05,0.0
2020-10-02 12:45:00+00:00,5.28,30.99,100.0000057220459,1063295.78125,15.824668884277344,200.63399505615234,3.541666666666667,10.513041019439697,99265.51953125,0.7223537713289261,0.0275,1527.2920837402344,0.0,-8.726821899414062,-2.936251640319824,2.961e-05,2.884e-05,2.709e-05,3.155e-05,3.076e-05,5.969e-05,4.793e-05,4.793e-05,3.064e-05,0.0
2020-10-02 13:00:00+00:00,6.123333333333334,28.2,100.0,974469.1875,15.811248779296875,205.9397430419922,3.530555555555556,10.963664054870605,99255.15625,0.7258824110031128,0.03,1468.5611572265625,0.0,-8.199462890625,-3.9590444564819336,2.995e-05,2.963e-05,2.713e-05,3.132e-05,3.067e-05,5.85e-05,4.766e-05,4.766e-05,3.064e-05,0.0
